GL Function;# of Calls;Total Time (µsec);Avg Time (µsec);% GL Time;% App Time
CGLFlushDrawable;1;38807;38807.26;70.64;0.29
glDrawElementsInstanced;735;14582;19.84;26.54;0.11
glDrawElementsInstancedBaseVertex;3;40;13.51;0.07;0.00
glDrawArrays;44;316;7.20;0.58;0.00
glDrawRangeElementsBaseVertex;11;71;6.50;0.13;0.00
glClear;2;7;3.77;0.01;0.00
glDrawRangeElements;45;112;2.50;0.20;0.00
glBufferData;5;7;1.52;0.01;0.00
glCheckFramebufferStatusEXT;32;29;0.92;0.05;0.00
glUseProgram;192;166;0.87;0.30;0.00
glGetError;1;0;0.62;0.00;0.00
glClearColor;2;1;0.56;0.00;0.00
glColorMaski;1;0;0.42;0.00;0.00
glBindFramebufferEXT;67;23;0.35;0.04;0.00
glUniformMatrix4fv;180;55;0.31;0.10;0.00
glFramebufferTexture2D;43;11;0.26;0.02;0.00
glBlendFunc;1;0;0.22;0.00;0.00
glScissor;75;15;0.21;0.03;0.00
glBindVertexArray;651;130;0.20;0.24;0.00
glUniform4fv;1.237;198;0.16;0.36;0.00
glGetIntegerv;33;5;0.15;0.01;0.00
glViewport;67;9;0.14;0.02;0.00
glUniform3fv;181;24;0.13;0.04;0.00
glBindTexture;845;101;0.12;0.19;0.00
glUnmapBuffer;50;5;0.12;0.01;0.00
glMapBufferRange;50;5;0.10;0.01;0.00
glUniform1fv;237;24;0.10;0.04;0.00
glFramebufferRenderbuffer;62;6;0.10;0.01;0.00
glBindBuffer;1.052;101;0.10;0.18;0.00
glDisable;136;12;0.10;0.02;0.00
glBlendFuncSeparate;77;7;0.09;0.01;0.00
glEnable;64;5;0.09;0.01;0.00
glReadBuffer;32;2;0.08;0.00;0.00
glDepthFunc;15;1;0.07;0.00;0.00
glDrawBuffer;32;2;0.07;0.00;0.00
glPolygonOffset;8;0;0.07;0.00;0.00
glColorMask;75;4;0.06;0.01;0.00
glCullFace;47;1;0.04;0.00;0.00
glActiveTexture;764;27;0.04;0.05;0.00
glDepthMask;176;6;0.04;0.01;0.00
glVertexAttrib4fARB;96;2;0.02;0.00;0.00
